MRU,Main_Area,Subarea,Lat_Center,Lon_Center,Status,Spread
MRU-1,Naipalapur,Adarsh Nagar,27.567959,80.705658,VERIFIED,0
MRU-1,Naipalapur,Anand Nagar,27.565406,80.698234,HIGH_SPREAD,0.017531
MRU-1,Naipalapur,Bhawanpurva,27.563448,80.699677,HIGH_SPREAD,0.104842
MRU-1,Naipalapur,Naipalapur,27.569612,80.707943,VERIFIED,0
MRU-1,Naipalapur,Prakash City,27.56548,80.712874,VERIFIED,0
MRU-1,Naipalapur,Rampurva,27.571666,80.711863,VERIFIED_10X,0
MRU-1,Naipalapur,Rasoolganj,27.565058,80.685057,HIGH_SPREAD,0.027239
MRU-1,Naipalapur,Sheeshmahal,27.566405,80.704909,VERIFIED,0
MRU-2,Panchampurva,Ramakrishna Puri,27.567919,80.693954,VERIFIED,0
MRU-2,Panchampurva,Panchampurva,27.5745,80.697745,VERIFIED_10X,0.003034
MRU-2,Panchampurva,Guru Nanak Colony,27.568539,80.694437,VERIFIED,0.000375
MRU-2,Panchampurva,Gwal Mandi,27.569887,80.695104,HIGH_SPREAD,0.027755
MRU-2,Panchampurva,Subhash Nagar,27.565498,80.696172,HIGH_SPREAD,0.022561
MRU-3,Ghanta Ghar,Alam Nagar,27.573155,80.679717,VERIFIED,0
MRU-3,Ghanta Ghar,Buttas Ganj,27.563448,80.680703,HIGH_SPREAD,0.032009
MRU-3,Ghanta Ghar,Dulhapurva,27.566525,80.680775,VERIFIED,0.00737
MRU-3,Ghanta Ghar,Ghanta Ghar,27.570818,80.683192,VERIFIED,0
MRU-3,Ghanta Ghar,Godiyana,27.582644,80.671424,VERIFIED_10X,0.010718
MRU-3,Ghanta Ghar,Machi Mandi,27.577198,80.669943,VERIFIED_10X,0.001543
MRU-3,Ghanta Ghar,Nai Basti,27.571699,80.674721,VERIFIED,0
MRU-3,Ghanta Ghar,Pakka Bagh,27.577376,80.680379,VERIFIED,0
MRU-3,Ghanta Ghar,Patiya,27.55006,80.690838,HIGH_SPREAD,0.057334
MRU-3,Ghanta Ghar,Ranikath,,,FAILED,999
MRU-3,Ghanta Ghar,Tareenpur,27.576015,80.668729,VERIFIED,0
MRU-3,Ghanta Ghar,Thekrapurva,27.570677,80.680226,VERIFIED,0.010291
MRU-4,Munshi Ganj,Ambedkar Nagar,27.564466,80.676358,VERIFIED,0.002417
MRU-4,Munshi Ganj,Ambika Puram,27.570032,80.683987,VERIFIED,0.014327
MRU-4,Munshi Ganj,Awadhpuri Colony,27.579554,80.66627,HIGH_SPREAD,0.017792
MRU-4,Munshi Ganj,Begum Bagh,27.570302,80.68503,HIGH_SPREAD,0.030279
MRU-4,Munshi Ganj,Hempurva,27.576845,80.661929,VERIFIED,0.000558
MRU-4,Munshi Ganj,Holi Nagar,27.570697,80.683191,VERIFIED,0
MRU-4,Munshi Ganj,Munshi Ganj,27.579642,80.668908,VERIFIED,0.013804
MRU-4,Munshi Ganj,Pusnagiri Nagar,27.586885,80.668966,VERIFIED,0.001024
MRU-5,Lohar Bagh,Agha Colony,27.56792,80.669094,VERIFIED,0.011507
MRU-5,Lohar Bagh,Arya Nagar,27.56175,80.68459,VERIFIED,0
MRU-5,Lohar Bagh,Awas Vikas Block A,27.556362,80.695399,VERIFIED,0.005356
MRU-5,Lohar Bagh,Awas Vikas Block C,27.557036,80.694145,VERIFIED,0.005865
MRU-5,Lohar Bagh,Baijnath Colony,27.56576,80.662577,HIGH_SPREAD,0.024278
MRU-5,Lohar Bagh,Chitra Colony,27.534327,80.678973,HIGH_SPREAD,0.035396
MRU-5,Lohar Bagh,Civil Lines,27.565208,80.677026,VERIFIED,0.002807
MRU-5,Lohar Bagh,Ghuramau Bangla,27.561129,80.67956,VERIFIED,0
MRU-5,Lohar Bagh,Kathalibagh,27.563448,80.680601,HIGH_SPREAD,0.074362
MRU-5,Lohar Bagh,Lohar Bagh,27.564353,80.680572,VERIFIED,0
MRU-5,Lohar Bagh,Prem Nagar,27.563113,80.669788,VERIFIED,0
MRU-5,Lohar Bagh,Sanjay Nagar,27.559508,80.678829,VERIFIED,0
MRU-6,Roti Godam,Shivpuri,27.630083,80.711376,HIGH_SPREAD,0.130955
MRU-6,Roti Godam,Awas Vikas Block B,27.557036,80.694145,VERIFIED,0.01208
MRU-6,Roti Godam,Sudamapuri,27.556831,80.672347,HIGH_SPREAD,0.015365
MRU-6,Roti Godam,Brampuri,27.555267,80.673801,VERIFIED,0.0021
MRU-6,Roti Godam,Gangdhar Nagar,27.568016,80.678952,VERIFIED,0
MRU-6,Roti Godam,Lal Kurti,27.543446,80.677859,VERIFIED,0.012466
MRU-6,Roti Godam,Roti Godam,27.5573,80.670058,VERIFIED,0.001418
MRU-6,Roti Godam,Sultanpur,27.5573,80.670058,HIGH_SPREAD,0.152001
MRU-7,Husain Ganj,Azad Nagar,27.564767,80.694089,VERIFIED,0
MRU-7,Husain Ganj,Budh Nagar,27.547775,80.709661,HIGH_SPREAD,0.016054
MRU-7,Husain Ganj,Bijwal Khud,27.531405,80.71511,HIGH_SPREAD,0.03516
MRU-7,Husain Ganj,Ginni Devi,27.543827,80.714863,VERIFIED,2e-06
MRU-7,Husain Ganj,Husain Ganj,,,FAILED,999
MRU-7,Husain Ganj,Sultanpur,27.589965,80.774692,HIGH_SPREAD,0.135215
MRU-7,Husain Ganj,Sadar Bazar,27.546337,80.695498,VERIFIED,0
MRU-7,Husain Ganj,Jangal Kuti,27.56029,80.680703,HIGH_SPREAD,0.024837
MRU-8,Khopur,Ahat Kaptan,27.570313,80.663008,VERIFIED,0.009648
MRU-8,Khopur,Habipur Ahat,27.567281,80.662233,HIGH_SPREAD,0.022946
MRU-8,Khopur,Bijanwa,27.551117,80.753564,HIGH_SPREAD,0.153997
MRU-8,Khopur,Gaushala Purva,27.570249,80.65867,VERIFIED,0.001143
MRU-8,Khopur,Habibpur,27.57032,80.662317,VERIFIED,0